Acrocarpus fraxinifolius
Araucaria angustifolia
Aspidosperma polyneuron
Bagassa guianensis
Balfourodendron riedelianum
Bertholethia excelsa
Bowdichia sp
Brosimum paraense
Carapa guianensis
Cariniana estrellensis
Cedrela fissilis
Cedrelinga catenaeformis
Cordia goeldiana
Cordia sp
Couratari sp
Dipteryx sp
Erisma uncinatum
Eucalyptus sp
Euxylophora paraensis
Goupia glabra
Grevilea robusta
Hura crepitans
Hymenaea sp
Hymenolobium petraeum
Laurus nobilis
Machaerium sp
Manilkara huberi
Melia azedarach
Mezilaurus itauba
Micropholis venulosa
Mimosa scabrella
Myroxylon balsamum
Ocotea porosa
Peltogyne sp
Pinus sp
Podocarpus lambertii
Pouteria pachycarpa
Swiethenia macrophylla
Tabebuia sp
Virola surinamensis
Vochysia sp
